Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Khyri Thomas (21604122),Khyri Thomas,21604122,SG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,0
C,Enes Freedom (21604228),Enes Freedom,21604228,C/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,10.63
C,Bruno Fernando (21604230),Bruno Fernando,21604230,C/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,3.11
C,Usman Garuba (21604232),Usman Garuba,21604232,C/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,6.6
C,Wenyen Gabriel (21604262),Wenyen Gabriel,21604262,C/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,6.06
SF/PF,David Nwaba (21604292),David Nwaba,21604292,SF/PF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,12.52
SF/PF,Jemerrio Jones (21604312),Jemerrio Jones,21604312,SF/PF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,4.88
SF/PF,Jay Huff (21604316),Jay Huff,21604316,SF/PF/F/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,2.5
PG/SG,DeJon Jarreau (21604408),DeJon Jarreau,21604408,PG/SG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,0
SG/SF,Tyler Bey (21604524),Tyler Bey,21604524,SG/SF/F/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,0
SG/SF,Wayne Ellington (21604549),Wayne Ellington,21604549,SG/SF/F/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,11.47
SG/SF,Kent Bazemore (21604554),Kent Bazemore,21604554,SG/SF/F/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,9.39
SG/SF,Avery Bradley (21604559),Avery Bradley,21604559,SG/SF/F/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,LAL,13.16
PG,Marcus Foster (21604615),Marcus Foster,21604615,PG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,0
PG,Daishen Nix (21604618),Daishen Nix,21604618,PG/G/UTIL,3000,LAL@HOU 03/09/2022 08:00PM ET,HOU,8.48
